,model,year,price,transmission,mileage,fuelType,tax(£),mpg,engineSize
1875, Santa Fe,2018,20842,Manual,21588,Diesel,145,47.1,2.2
1876, I10,2017,7610,Manual,9511,Petrol,150,57.7,1.2
1877, I10,2018,7995,Manual,100,Petrol,145,60.1,1.0
1878, Tucson,2019,15498,Manual,17770,Petrol,150,34.9,1.6
1879, I10,2017,8995,Manual,14620,Petrol,145,57.7,1.2
1880, Tucson,2019,17500,Semi-Auto,13084,Petrol,145,36.2,1.6
1881, Tucson,2017,18495,Semi-Auto,12980,Diesel,150,57.7,1.7
1882, Tucson,2016,12789,Manual,28793,Diesel,30,61.7,1.7
1883, I30,2016,9995,Manual,51344,Diesel,20,72.4,1.6
1884, I10,2014,6000,Manual,21029,Petrol,30,57.6,1.2
1885, Santa Fe,2017,19495,Manual,26711,Diesel,200,47.1,2.2
1886, I10,2017,7495,Manual,47856,Petrol,150,60.1,1.0
1887, I20,2015,7650,Manual,44226,Petrol,30,55.4,1.2
1888, Ioniq,2019,18480,Automatic,14031,Hybrid,135,78.5,1.6
1889, I10,2019,7990,Manual,5000,Petrol,145,60.1,1.0
1890, Tucson,2019,20195,Manual,3500,Petrol,145,35.3,1.6
1891, Ioniq,2019,22491,Automatic,5500,Hybrid,135,78.5,1.6
1892, Tucson,2017,13480,Manual,20607,Diesel,30,61.7,1.7
1893, I20,2019,10200,Manual,9748,Petrol,145,46.3,1.2
1894, I10,2018,8300,Manual,7986,Petrol,145,57.7,1.2
1895, Kona,2018,13326,Manual,21716,Petrol,145,52.3,1.0
1896, IX20,2016,7695,Manual,18146,Petrol,125,50.4,1.4
1897, Tucson,2017,13735,Manual,19348,Diesel,30,61.7,1.7
1898, I30,2017,10780,Manual,20629,Diesel,150,74.3,1.6
1899, I10,2017,6299,Manual,1650,Petrol,150,60.1,1.0
1900, I10,2017,6999,Manual,36797,Petrol,20,60.1,1.0
1901, Ioniq,2019,23495,Automatic,9230,Hybrid,135,78.5,1.6
1902, Tucson,2017,12698,Manual,18624,Diesel,30,61.7,1.7
1903, I30,2014,7295,Automatic,37000,Diesel,160,51.4,1.6
1904, Ioniq,2019,20000,Semi-Auto,4541,Hybrid,135,78.5,1.6
1905, Ioniq,2018,16498,Automatic,18478,Hybrid,140,78.5,1.6
1906, Tucson,2018,15500,Manual,4411,Petrol,145,34.9,1.6
1907, I30,2015,7520,Manual,46142,Diesel,0,78.4,1.6
1908, I10,2019,8995,Manual,1150,Petrol,145,60.1,1.0
1909, IX20,2017,8995,Automatic,31406,Petrol,145,43.5,1.6
1910, Tucson,2018,15320,Automatic,35226,Diesel,145,47.1,2.0
1911, IX20,2019,14750,Manual,100,Petrol,145,37.2,1.6
1912, Tucson,2017,15500,Manual,23546,Diesel,30,61.7,1.7
1913, Ioniq,2019,17990,Automatic,8972,Hybrid,135,78.5,1.6
1914, Tucson,2016,12195,Manual,34020,Diesel,30,61.7,1.7
1915, I10,2017,7101,Manual,1847,Petrol,20,60.1,1.0
1916, IX20,2016,8990,Automatic,39016,Petrol,160,43.5,1.6
1917, Kona,2019,14399,Manual,5000,Petrol,145,44.1,1.0
1918, I10,2019,9495,Manual,443,Petrol,145,49.6,1.0
1919, I10,2018,7291,Manual,13746,Petrol,150,60.1,1.0
1920, Santa Fe,2019,33995,Automatic,6363,Diesel,145,42.8,2.2
1921, Ioniq,2019,21995,Automatic,9852,Hybrid,140,78.5,1.6
1922, Tucson,2018,15169,Manual,8786,Diesel,145,61.7,1.7
1923, Kona,2019,14974,Manual,6811,Petrol,150,44.1,1.0
1924, Tucson,2018,14991,Manual,21000,Petrol,145,34.9,1.6
1925, Tucson,2019,19970,Semi-Auto,11994,Petrol,145,36.2,1.6
1926, I10,2018,7281,Manual,14985,Petrol,145,60.1,1.0
1927, Tucson,2017,15495,Automatic,13800,Diesel,145,57.6,1.7
1928, Tucson,2017,15995,Automatic,15000,Diesel,125,57.6,1.7
1929, I10,2017,8495,Semi-Auto,31564,Petrol,145,47.9,1.2
1930, Ioniq,2019,16750,Automatic,10547,Hybrid,135,78.5,1.6
1931, I10,2019,9995,Manual,450,Petrol,145,49.6,1.0
1932, I30,2018,12985,Automatic,30308,Petrol,145,51.4,1.4
1933, I20,2019,9699,Manual,17516,Petrol,145,46.3,1.2
1934, Ioniq,2017,15290,Automatic,23690,Hybrid,140,78.5,1.6
1935, Tucson,2017,13695,Manual,25665,Petrol,150,44.8,1.6
1936, Santa Fe,2017,19500,Manual,26306,Diesel,205,47.1,2.2
1937, I30,2010,3495,Manual,44670,Petrol,150,46.3,1.4
1938, I10,2017,7390,Manual,13719,Petrol,30,57.7,1.2
1939, I30,2018,11000,Manual,16856,Petrol,150,56.5,1.0
1940, Ioniq,2016,14270,Automatic,20296,Hybrid,0,78.5,1.6
1941, I30,2017,11000,Manual,9172,Petrol,145,56.5,1.0
1942, I20,2016,6995,Manual,41577,Petrol,30,58.9,1.2
1943, Tucson,2017,13740,Manual,25972,Diesel,30,61.7,1.7
1944, I10,2018,7995,Manual,20000,Petrol,145,60.1,1.0
1945, I10,2017,7299,Manual,15422,Petrol,20,60.1,1.0
1946, Tucson,2018,16999,Manual,4203,Petrol,145,38.7,1.6
1947, I20,2019,9295,Manual,15216,Petrol,145,46.3,1.2
1948, Tucson,2018,14995,Manual,44779,Diesel,145,61.4,1.7
1949, Santa Fe,2019,29290,Semi-Auto,4721,Diesel,145,39.8,2.2
1950, Tucson,2018,14770,Manual,16314,Petrol,145,44.8,1.6
1951, Tucson,2017,14430,Semi-Auto,34870,Diesel,125,57.6,1.7
1952, I20,2017,7995,Manual,34945,Petrol,30,58.9,1.2
1953, I800,2018,16995,Automatic,31360,Diesel,145,28.0,2.5
1954, Kona,2020,21320,Manual,1,Petrol,145,44.1,1.0
1955, I10,2016,6995,Manual,13500,Petrol,30,57.6,1.2
1956, Tucson,2017,13490,Semi-Auto,29797,Diesel,125,57.6,1.7
1957, Tucson,2017,10698,Manual,50408,Diesel,30,61.7,1.7
1958, I20,2014,5999,Manual,47278,Diesel,20,68.9,1.4
1959, I20,2016,8495,Manual,27000,Petrol,30,58.9,1.2
1960, IX20,2016,8995,Manual,51500,Diesel,30,64.2,1.6
1961, Ioniq,2019,18995,Automatic,4500,Hybrid,135,78.5,1.6
1962, I10,2018,7125,Manual,28890,Petrol,145,60.1,1.0
1963, I10,2020,13495,Manual,3000,Petrol,150,56.5,1.0
1964, Tucson,2017,13995,Manual,15679,Petrol,160,44.8,1.6
1965, Ioniq,2020,28995,Automatic,5213,Hybrid,135,1.1,1.6
1966, I30,2015,8340,Manual,24904,Petrol,145,48.7,1.4
1967, Santa Fe,2016,19360,Manual,25976,Diesel,200,47.1,2.2
1968, I20,2020,13966,Manual,3500,Petrol,145,47.9,1.0
1969, I10,2018,6699,Manual,31217,Petrol,145,60.1,1.0
1970, Tucson,2016,12495,Manual,41374,Diesel,30,61.7,1.7
1971, Tucson,2017,13499,Semi-Auto,50456,Diesel,125,57.6,1.7
1972, I20,2016,7290,Manual,27458,Petrol,30,56.5,1.2
1973, I30,2017,9990,Manual,49035,Diesel,145,74.3,1.6
1974, I10,2018,7985,Manual,5406,Petrol,145,60.1,1.0
1975, Tucson,2019,25490,Manual,3210,Hybrid,145,48.7,1.6
1976, I20,2019,10699,Manual,10668,Petrol,145,46.3,1.2
1977, Kona,2020,19290,Manual,984,Petrol,145,44.1,1.0
1978, I10,2019,9995,Manual,5607,Petrol,145,57.6,1.2
1979, I30,2017,9690,Manual,15824,Petrol,145,48.7,1.4
1980, Santa Fe,2017,18350,Semi-Auto,29249,Diesel,235,42.8,2.2
1981, I10,2019,9495,Manual,3500,Petrol,145,49.6,1.0
1982, Tucson,2016,12298,Manual,38564,Diesel,30,61.7,1.7
1983, I10,2019,8995,Manual,2198,Petrol,145,60.1,1.0
1984, I10,2019,10220,Manual,5,Petrol,145,49.6,1.0
1985, I20,2018,9445,Manual,12100,Petrol,145,46.3,1.2
1986, Kona,2018,13995,Manual,14100,Petrol,145,52.3,1.0
1987, I10,2016,7970,Manual,12552,Petrol,30,57.6,1.2
1988, Tucson,2017,16991,Manual,19349,Diesel,145,54.3,2.0
1989, I10,2009,2799,Manual,67887,Petrol,30,56.5,1.1
1990, Ioniq,2018,18498,Automatic,7999,Hybrid,135,78.5,1.6
1991, I30,2018,11000,Manual,13406,Petrol,145,56.5,1.0
1992, Ioniq,2019,19990,Automatic,2000,Hybrid,135,62.8,1.6
1993, Ioniq,2017,15325,Automatic,14709,Hybrid,135,78.5,1.6
1994, Tucson,2017,14490,Manual,18856,Diesel,30,61.7,1.7
1995, Tucson,2016,10698,Manual,36567,Diesel,30,61.7,1.7
1996, Ioniq,2019,15998,Automatic,16280,Hybrid,135,78.5,1.6
1997, Tucson,2019,20970,Manual,575,Petrol,145,34.9,1.6
1998, I10,2012,3491,Manual,67365,Petrol,20,61.4,1.2
1999, I20,2016,6549,Manual,53609,Petrol,30,55.4,1.2
2000, I10,2019,8470,Manual,9932,Petrol,145,60.1,1.0
2001, I10,2016,6764,Manual,33794,Petrol,30,57.6,1.2
2002, Tucson,2019,21490,Manual,101,Petrol,145,34.9,1.6
2003, I10,2017,7495,Manual,10386,Petrol,20,60.1,1.0
2004, I10,2020,12495,Manual,2100,Petrol,145,56.5,1.0
2005, Kona,2019,17295,Manual,5053,Petrol,145,44.1,1.0
2006, I20,2016,7495,Manual,34720,Petrol,30,55.4,1.2
2007, Santa Fe,2019,32750,Automatic,4995,Diesel,145,39.8,2.2
2008, Tucson,2015,11697,Manual,21904,Diesel,30,61.7,1.7
2009, Kona,2019,15000,Manual,2160,Petrol,145,44.1,1.0
2010, Tucson,2019,21750,Automatic,11057,Diesel,145,47.1,1.6
2011, I10,2016,5990,Manual,23315,Petrol,20,60.1,1.0
2012, I20,2016,7849,Manual,34690,Petrol,30,58.9,1.2
2013, IX20,2016,7900,Manual,28221,Diesel,30,64.2,1.6
2014, Tucson,2019,15798,Manual,13184,Petrol,145,35.3,1.6
2015, I30,2019,23495,Manual,2851,Petrol,145,34.0,2.0
2016, I40,2019,16000,Manual,20,Diesel,145,52.3,1.6
2017, Tucson,2018,19970,Automatic,20000,Diesel,150,46.3,1.6
2018, I10,2017,7998,Manual,25878,Petrol,145,57.7,1.2
2019, I20,2018,9999,Manual,10000,Petrol,145,46.3,1.2
2020, I10,2016,5998,Manual,20746,Petrol,20,60.1,1.0
2021, I10,2017,8995,Semi-Auto,23000,Petrol,145,47.9,1.2
2022, I30,2018,8921,Manual,12233,Petrol,145,57.7,1.0
2023, Kona,2019,13591,Manual,15575,Petrol,145,44.1,1.0
2024, Tucson,2016,12498,Manual,15959,Diesel,30,61.7,1.7
2025, I800,2018,14800,Automatic,34886,Diesel,145,28.0,2.5
2026, Tucson,2016,10698,Manual,67372,Diesel,30,61.7,1.7
2027, I10,2015,5990,Manual,26541,Petrol,30,57.6,1.2
2028, I10,2017,8490,Manual,19971,Petrol,30,57.7,1.2
2029, I10,2016,5995,Manual,45748,Petrol,20,61.4,1.0
2030, IX35,2015,7950,Manual,47300,Diesel,145,53.3,1.7
2031, I30,2019,14998,Manual,3292,Petrol,145,41.5,1.4
2032, IX20,2016,9000,Manual,21152,Diesel,30,64.2,1.6
2033, I30,2019,13910,Manual,10661,Petrol,145,44.8,1.0
2034, I800,2018,15899,Automatic,36359,Diesel,145,28.0,2.5
2035, I20,2013,5400,Manual,24003,Petrol,125,54.3,1.4
2036, IX20,2018,10990,Automatic,17167,Petrol,145,43.5,1.6
2037, Tucson,2019,27000,Manual,2000,Petrol,145,34.9,1.6
2038, I10,2008,1495,Manual,94000,Petrol,30,56.5,1.2
2039, Tucson,2020,26995,Manual,133,Petrol,150,34.9,1.6
2040, I10,2017,7798,Manual,9859,Petrol,145,60.1,1.0
2041, I10,2018,7291,Manual,9683,Petrol,150,60.1,1.0
2042, Tucson,2018,18200,Semi-Auto,9545,Petrol,150,39.8,1.6
2043, Ioniq,2019,23370,Automatic,5653,Hybrid,135,78.5,1.6
2044, I30,2017,11990,Manual,15882,Petrol,150,52.3,1.4
2045, I10,2017,7698,Manual,5480,Petrol,145,60.1,1.0
2046, Santa Fe,2017,21499,Semi-Auto,28847,Diesel,240,42.8,2.2
2047, I10,2017,6740,Manual,33859,Petrol,145,57.7,1.2
2048, I20,2015,8290,Manual,27823,Petrol,125,51.4,1.4
2049, IX35,2015,9495,Automatic,52747,Diesel,265,41.5,2.0
2050, I30,2013,4998,Manual,61735,Diesel,0,76.3,1.6
2051, I30,2018,9498,Manual,12223,Petrol,145,57.7,1.0
2052, I10,2014,5500,Manual,20127,Petrol,20,60.1,1.0
2053, I10,2019,8750,Manual,10567,Petrol,145,60.1,1.0
2054, Tucson,2016,16250,Automatic,41455,Diesel,240,43.5,2.0
2055, Kona,2019,15298,Manual,879,Petrol,145,44.1,1.0
2056, I30,2017,9517,Manual,38982,Diesel,145,74.3,1.6
2057, Kona,2018,13350,Manual,8961,Petrol,145,52.3,1.0
2058, I10,2017,6240,Manual,31050,Petrol,150,60.1,1.0
2059, I20,2018,11800,Automatic,21116,Petrol,145,49.6,1.0
2060, Ioniq,2019,17995,Automatic,4454,Hybrid,135,78.5,1.6
2061, I10,2013,4295,Manual,27000,Petrol,20,61.4,1.2
2062, Tucson,2017,14498,Semi-Auto,17754,Diesel,125,57.6,1.7
2063, I20,2018,9299,Manual,17940,Petrol,145,46.3,1.2
2064, I20,2017,8495,Manual,16416,Petrol,150,58.9,1.2
2065, I30,2016,9000,Manual,34443,Diesel,0,78.4,0.0
2066, Tucson,2017,12397,Manual,27473,Diesel,30,61.7,1.7
2067, I30,2015,6310,Manual,50700,Diesel,0,78.4,1.6
2068, Tucson,2017,14600,Manual,17528,Diesel,150,61.7,1.7
2069, I20,2014,6000,Manual,22998,Petrol,30,57.6,1.2
2070, Santa Fe,2017,18850,Semi-Auto,28056,Diesel,240,42.8,2.2
2071, Tucson,2017,14995,Semi-Auto,13061,Diesel,125,57.6,1.7
2072, I10,2017,7300,Manual,15594,Petrol,20,60.1,0.0
2073, I40,2017,11495,Manual,21743,Diesel,145,65.7,1.7
2074, Tucson,2016,14500,Semi-Auto,15589,Diesel,125,57.6,1.7
2075, Tucson,2017,15000,Manual,23310,Diesel,30,61.7,0.0
2076, I30,2014,9691,Automatic,29064,Diesel,165,51.4,1.6
2077, Kona,2019,14995,Manual,2291,Petrol,145,44.1,1.0
2078, Tucson,2018,14495,Manual,11611,Petrol,145,44.8,1.6
2079, Santa Fe,2019,32570,Semi-Auto,9923,Diesel,145,39.2,2.2
2080, Tucson,2016,12299,Manual,17947,Diesel,30,61.7,1.7
2081, Tucson,2016,12798,Manual,35696,Diesel,30,61.7,1.7
2082, I30,2018,9498,Manual,11462,Petrol,145,57.7,1.0
2083, I10,2016,8000,Semi-Auto,21473,Petrol,150,47.9,1.2
2084, Ioniq,2017,17749,Automatic,7955,Hybrid,135,78.5,1.6
2085, I20,2017,7995,Manual,34945,Petrol,30,58.9,1.2
2086, I40,2017,10498,Manual,33763,Diesel,145,65.7,1.7
2087, Getz,2007,2195,Manual,81400,Petrol,125,51.4,1.1
2088, I20,2017,8995,Manual,18916,Petrol,145,58.9,1.2
2089, I20,2019,10590,Manual,3417,Petrol,150,46.3,1.2
2090, Kona,2019,15995,Manual,357,Petrol,145,44.1,1.0
2091, I30,2017,10985,Manual,14027,Diesel,145,72.4,1.6
2092, Tucson,2016,12995,Manual,26389,Diesel,30,61.7,1.7
2093, Tucson,2017,11577,Manual,52029,Diesel,30,61.7,1.7
2094, I20,2019,11000,Manual,12120,Petrol,150,46.3,1.2
2095, I10,2016,6000,Manual,23176,Petrol,30,57.6,1.2
2096, Tucson,2017,12995,Manual,36681,Diesel,30,61.7,1.7
2097, Santa Fe,2019,32450,Automatic,2130,Diesel,145,42.8,2.2
2098, Tucson,2020,24495,Semi-Auto,5000,Hybrid,145,50.4,1.6
2099, Tucson,2016,11799,Manual,59271,Diesel,30,61.7,1.7
2100, Kona,2019,16495,Manual,16331,Petrol,145,44.1,1.0
2101, I10,2017,7695,Manual,22022,Petrol,20,60.1,1.0
2102, IX20,2014,6190,Manual,37666,Diesel,30,64.2,1.6
2103, Santa Fe,2018,21995,Semi-Auto,17189,Diesel,145,42.8,2.2
2104, IX20,2016,8298,Manual,16407,Petrol,125,50.4,1.4
2105, I30,2016,9300,Manual,26834,Diesel,0,78.4,1.6
2106, I10,2018,7500,Manual,13457,Petrol,145,60.1,1.0
2107, Kona,2018,13698,Manual,11139,Petrol,145,44.1,1.0
2108, I10,2019,9987,Semi-Auto,8008,Petrol,150,47.9,1.2
2109, Santa Fe,2018,31394,Automatic,12743,Diesel,145,39.2,2.2
2110, IX35,2013,7996,Manual,51400,Diesel,145,53.3,1.7
2111, Santa Fe,2017,20550,Semi-Auto,11175,Diesel,145,42.8,2.2
2112, I30,2017,9230,Manual,34590,Diesel,0,78.4,1.6
2113, I10,2017,7570,Manual,3149,Petrol,150,60.1,1.0
2114, I10,2017,8995,Semi-Auto,24708,Petrol,145,47.9,1.2
2115, I10,2019,9995,Manual,450,Petrol,145,49.6,1.0
2116, I10,2019,9985,Manual,5223,Petrol,145,57.6,1.2
2117, I10,2018,5995,Manual,35458,Petrol,145,57.7,1.2
2118, I10,2017,6491,Manual,31686,Petrol,145,57.7,1.2
2119, I10,2015,6200,Manual,25559,Petrol,30,57.6,1.2
2120, I30,2016,8495,Manual,32361,Diesel,0,78.4,1.6
2121, I10,2020,12495,Manual,4000,Petrol,145,51.4,1.2
2122, I20,2020,16998,Manual,400,Petrol,145,46.3,1.2
2123, I30,2015,6698,Manual,64365,Diesel,0,78.4,1.6
2124, I30,2016,8500,Manual,20153,Diesel,0,78.4,1.6
2125, Tucson,2019,15799,Manual,11958,Petrol,145,34.9,1.6
2126, I30,2017,10999,Manual,18539,Diesel,145,78.4,1.6
2127, Tucson,2016,11485,Manual,52532,Diesel,30,61.7,1.7
2128, I20,2017,8291,Manual,17839,Petrol,145,58.9,1.2
2129, I20,2014,6799,Manual,18495,Petrol,30,57.6,1.2
2130, I30,2017,9521,Manual,9866,Petrol,145,57.7,1.0
2131, I20,2014,6390,Manual,13000,Petrol,30,57.6,1.2
2132, I20,2019,10590,Manual,8195,Petrol,150,46.3,1.2
2133, IX20,2017,8780,Manual,15956,Petrol,145,50.4,1.4
2134, IX20,2011,4750,Manual,23000,Petrol,120,50.4,1.4
2135, I10,2018,7490,Manual,13303,Petrol,145,60.1,1.0
2136, IX20,2017,11000,Automatic,15000,Petrol,160,43.5,1.6
2137, IX35,2015,11400,Manual,23041,Diesel,165,51.4,0.0
2138, I10,2016,5000,Manual,58589,Petrol,30,57.6,1.2
2139, Kona,2019,15000,Manual,14587,Petrol,145,44.1,1.0
2140, I10,2018,12562,Semi-Auto,7487,Petrol,145,47.9,1.2
2141, I10,2017,7000,Manual,8962,Petrol,145,60.1,1.0
2142, IX20,2015,6750,Automatic,45908,Petrol,200,43.6,1.6
2143, IX35,2014,6881,Manual,82203,Diesel,145,53.3,1.7
2144, Tucson,2019,24480,Manual,6054,Hybrid,145,47.9,1.6
2145, I30,2018,15995,Semi-Auto,6089,Petrol,150,44.1,1.4
2146, Tucson,2016,11495,Manual,19312,Diesel,30,61.7,1.7
2147, I20,2016,7995,Manual,42754,Petrol,20,58.9,1.0
2148, I10,2017,7995,Manual,19750,Petrol,145,57.7,1.2
2149, Tucson,2018,17000,Semi-Auto,16096,Petrol,145,36.2,1.6
2150, Tucson,2019,26439,Semi-Auto,6000,Diesel,145,40.4,2.0
2151, Tucson,2016,13292,Manual,69332,Diesel,145,54.3,2.0
2152, Santa Fe,2017,17991,Manual,29458,Diesel,200,47.1,2.2
2153, I20,2019,12050,Manual,11435,Petrol,145,46.3,1.2
2154, Santa Fe,2017,18894,Semi-Auto,41429,Diesel,145,42.8,2.2
2155, Tucson,2017,13850,Manual,21985,Diesel,145,61.7,1.7
2156, I800,2018,15749,Automatic,32420,Diesel,145,28.0,2.5
2157, I30,2016,7998,Manual,29465,Petrol,125,50.4,1.4
2158, I10,2016,6500,Manual,16309,Petrol,30,57.6,1.2
2159, I10,2017,7290,Manual,5082,Petrol,145,60.1,1.0
2160, Tucson,2019,15795,Manual,13980,Petrol,145,34.9,1.6
2161, Santa Fe,2020,43995,Semi-Auto,10,Diesel,145,39.2,2.2
2162, I10,2017,7350,Manual,17531,Petrol,20,60.1,1.0
2163, Ioniq,2018,13998,Automatic,22508,Hybrid,135,78.5,1.6
2164, IX35,2010,9495,Manual,16500,Diesel,190,48.7,2.0
2165, I30,2013,6000,Manual,47176,Diesel,0,76.3,1.6
2166, I10,2011,2488,Manual,94138,Petrol,20,61.4,1.2
2167, IX20,2017,9500,Automatic,18250,Petrol,160,43.5,1.6
2168, Santa Fe,2018,20985,Automatic,31123,Diesel,145,42.8,2.2
2169, I10,2017,7350,Manual,6875,Petrol,150,60.1,1.0
2170, I10,2018,7291,Manual,16203,Petrol,150,60.1,1.0
2171, Kona,2020,20970,Manual,1000,Petrol,145,44.1,1.0
2172, I30,2019,23997,Manual,15,Petrol,150,34.0,2.0
2173, Kona,2019,20998,Automatic,4672,Hybrid,140,52.3,1.6
2174, I10,2018,7896,Manual,16673,Petrol,145,60.1,1.0
2175, I20,2017,8099,Manual,46297,Petrol,150,55.4,1.2
2176, Tucson,2016,12995,Manual,37688,Diesel,30,61.7,1.7
2177, I20,2016,9299,Manual,16228,Petrol,20,62.8,1.0
2178, Tucson,2017,14698,Semi-Auto,31960,Diesel,150,57.6,1.7
2179, I10,2018,9500,Manual,14322,Petrol,145,60.1,1.0
2180, I10,2017,7999,Manual,25997,Petrol,145,57.7,1.2
2181, I10,2017,6795,Manual,32539,Petrol,20,60.1,1.0
2182, Ioniq,2019,19800,Automatic,1963,Petrol,135,78.5,1.6
2183, I20,2019,12090,Manual,2946,Petrol,145,46.3,1.2
2184, Ioniq,2019,18299,Automatic,559,Hybrid,135,78.5,1.6
2185, Santa Fe,2019,34495,Semi-Auto,4890,Diesel,145,39.2,2.2
2186, Kona,2019,13995,Manual,10961,Petrol,145,44.1,1.0
2187, Tucson,2018,14998,Manual,7482,Petrol,145,44.8,1.6
2188, I10,2017,6797,Manual,12521,Petrol,145,60.1,1.0
2189, Tucson,2019,25750,Semi-Auto,4500,Hybrid,145,50.4,1.6
2190, I10,2017,8495,Semi-Auto,32979,Petrol,150,47.9,1.2
2191, I10,2017,7500,Manual,22795,Petrol,30,57.7,1.2
2192, IX35,2012,5790,Manual,64992,Petrol,205,41.5,1.6
2193, I20,2015,7290,Manual,24586,Petrol,30,55.4,1.2
2194, I10,2017,7169,Manual,18610,Petrol,145,57.7,1.2
2195, Kona,2019,17650,Manual,5386,Petrol,145,44.1,1.0
2196, I20,2019,13654,Manual,1600,Petrol,145,47.9,1.0
2197, Tucson,2017,12700,Manual,33808,Diesel,30,61.7,1.7
2198, Kona,2019,13650,Manual,16261,Petrol,145,44.1,1.0
2199, Ioniq,2019,18600,Semi-Auto,10391,Hybrid,135,78.5,1.6
2200, I10,2018,7499,Manual,9426,Petrol,145,60.1,1.0
2201, I20,2016,9995,Automatic,2000,Petrol,160,44.1,1.4
2202, Tucson,2016,12799,Manual,27517,Diesel,30,61.7,1.7
2203, I10,2017,5789,Manual,39877,Petrol,145,60.1,1.0
2204, Santa Fe,2019,32995,Semi-Auto,1642,Diesel,150,39.8,2.2
2205, IX20,2013,6995,Automatic,50150,Petrol,200,43.6,1.6
2206, I30,2015,7490,Manual,40472,Diesel,0,78.4,1.6
2207, Tucson,2017,13495,Manual,25751,Petrol,145,44.8,1.6
2208, Tucson,2015,16750,Automatic,21000,Diesel,240,43.5,2.0
2209, IX20,2017,9995,Automatic,19500,Petrol,160,43.5,1.6
2210, I10,2018,8250,Manual,9843,Petrol,145,60.1,1.0
2211, Santa Fe,2018,20250,Manual,7781,Diesel,145,47.1,2.2
2212, Ioniq,2017,15470,Automatic,14673,Hybrid,0,78.5,1.6
2213, Tucson,2019,20990,Manual,100,Petrol,145,35.3,1.6
2214, I30,2019,22989,Manual,3391,Petrol,145,34.0,2.0
2215, Tucson,2019,23500,Semi-Auto,4479,Petrol,150,35.8,1.6
2216, Santa Fe,2015,19000,Automatic,28700,Diesel,260,42.2,2.2
2217, I10,2017,7499,Manual,17677,Petrol,150,57.7,1.2
2218, I30,2018,11998,Manual,13901,Diesel,145,74.3,1.6
2219, Tucson,2017,11699,Manual,22371,Petrol,160,44.8,1.6
2220, Tucson,2018,14991,Manual,9206,Petrol,145,44.8,1.6
2221, Tucson,2017,15698,Semi-Auto,16768,Diesel,125,57.6,1.7
2222, I20,2019,10000,Manual,14188,Petrol,145,46.3,1.2
2223, Kona,2018,12599,Manual,34989,Petrol,145,52.3,1.0
2224, I10,2015,5000,Manual,42692,Petrol,20,61.4,1.0
2225, I40,2019,16500,Manual,10,Diesel,145,52.3,1.6
2226, IX20,2014,5945,Manual,42000,Petrol,125,50.4,1.4
2227, I800,2018,15949,Manual,31007,Diesel,145,31.7,2.5
2228, Tucson,2016,12495,Manual,35000,Diesel,30,61.7,1.7
2229, I30,2019,14640,Manual,3961,Petrol,145,41.5,1.4
2230, I40,2014,7498,Manual,46152,Diesel,30,62.8,1.7
2231, IX20,2017,9490,Manual,21354,Petrol,145,50.4,1.4
2232, Ioniq,2019,22989,Automatic,5222,Hybrid,135,78.5,1.6
2233, I40,2013,6995,Manual,50438,Diesel,30,62.8,1.7
2234, I30,2018,10998,Manual,14147,Petrol,145,56.5,1.0
2235, Tucson,2019,15498,Manual,17966,Petrol,145,34.9,1.6
2236, I20,2016,8499,Manual,16750,Petrol,30,55.4,1.2
2237, Tucson,2017,13998,Manual,24602,Diesel,150,61.7,1.7
2238, I10,2020,13495,Manual,697,Petrol,145,55.4,1.2
2239, Tucson,2016,11485,Manual,53963,Diesel,30,61.7,1.7
2240, Ioniq,2018,15990,Automatic,13286,Hybrid,135,78.5,1.6
2241, I20,2016,6890,Manual,37027,Petrol,30,56.5,1.2
2242, Kona,2019,19989,Manual,10,Petrol,145,44.1,1.0
2243, IX35,2013,8200,Manual,34500,Diesel,145,53.3,1.7
2244, Terracan,2005,2895,Manual,130000,Diesel,325,32.8,2.9
2245, Tucson,2017,13700,Manual,19098,Diesel,30,61.7,1.7
2246, I800,2018,15000,Manual,34168,Diesel,145,37.7,2.5
2247, I800,2016,11995,Automatic,53000,Diesel,330,33.6,2.5
2248, Kona,2019,15295,Manual,5986,Petrol,145,44.1,1.0
2249, I10,2018,8000,Manual,8083,Petrol,145,60.1,1.0
2250, Tucson,2017,14600,Semi-Auto,18626,Diesel,125,57.6,1.7
2251, Tucson,2016,10800,Manual,45668,Diesel,30,61.7,1.7
2252, Santa Fe,2019,33998,Semi-Auto,3122,Diesel,145,39.8,2.2
2253, Tucson,2020,23480,Semi-Auto,3100,Petrol,145,36.2,1.6
2254, Kona,2019,20990,Automatic,4235,Hybrid,140,52.3,1.6
2255, I10,2011,2495,Manual,78000,Petrol,20,61.4,1.2
2256, I10,2017,6498,Manual,37254,Petrol,20,60.1,1.0
2257, Tucson,2016,11990,Manual,68773,Diesel,145,54.3,2.0
2258, I30,2016,11995,Manual,14838,Petrol,235,38.7,1.6
2259, I30,2016,8680,Manual,25906,Diesel,0,78.4,1.6
2260, I20,2019,13995,Manual,1000,Petrol,145,46.3,1.2
2261, Tucson,2017,17999,Semi-Auto,23986,Diesel,125,57.6,1.7
2262, I40,2012,7495,Automatic,68132,Diesel,200,47.1,1.7
2263, Ioniq,2016,13995,Automatic,51600,Hybrid,0,78.5,1.6
2264, I10,2017,5990,Manual,34565,Petrol,145,60.1,1.0
2265, IX20,2017,9490,Manual,6380,Petrol,145,50.4,1.4
